team_id,team_name,ko_name,ko_name_short,primary_color_override,number_color_override
2002,Spartak Nalchik,스파르타크 날치크, 스파르타크 Nl.
2004,Volgar Astrakhan,볼가리 아스트라한, 볼가리
2009,Avangard Kursk,아반가르트 쿠르스크, 아반가르트
2010,Rotor Volgograd,로토르 볼고그라드, 로토르,76c5f0,ffffff
2014,Chertanovo Moscow,체르타노보 모스크바, 체르타노보
3983,Chayka Peschanokopskoye,차이카 페스차노콥스코예, 차이카
3984,Tekstilshchik Ivanovo,텍스틸시크 이바노보, 텍스틸시크,e31e23,000000
3985,Torpedo Moskva,토르페도 모스크바, 토르페도 Mc.,000000,ffffff
6787,Alania Vladikavkaz,알라니야 블라디캅카스, 알라니야
6790,Chelyabinsk,첼랴빈스크,,01b6e9,ffffff
6791,Chernomorets Novorossiysk,체르노모레츠 노보로시스크, 체르노모레츠
6794,Dinamo Barnaul,디나모 바르나울, 디나모 Bn.
6795,Dinamo Bryansk,디나모 브랸스크, 디나모 Br.
6796,Dinamo Stavropol,디나모 스타브로폴, 디나모 St.
6798,Druzhba Maykop,드루즈바 마이코프, 드루즈바
6801,KAMAZ Naberezhnye-Chelny,KAMAZ 나베레즈니예첼니, KAMAZ,0d3774,ffffff
6802,Kaluga,칼루가,
6807,Kvant,크반트 오브닌스크, 크반트
6822,Rodina Moskva,로디나 모스크바, 로디나,00b3e4,001b2d
6834,Volga Ulyanovsk,볼가 울리야놉스크, 볼가,ffe500,000000
19449,Spartak Kostroma,스파르타크 코스트로마, 스파르타크 Ks.,ff1726,ffffff
6811,Leningradets,레닌그라데츠,
6814,Mashuk-KMV Pyatigorsk,마슈크-KMV 퍄티고르스크, 마슈크-KMV
6819,Sibir Novosibirsk,시비리 노보시비르스크, 시비리
6833,Veles Moscow,벨레스 모스크바, 벨레스,7a1938,7fc0e8
14139,Dinamo Moskva II,디나모-2 모스크바, 디나모-2
16864,Torpedo Miass,토르페도 미아스, 토르페도 Mi.
19453,Rodina Moskva II,로디나-2 모스크바, 로디나-2,00b3e4,001b2d
21538,Dinamo Kirov,디나모 키로프, 디나모 Kr.
2005,Zenit 2,제니트-2 상트페테르부르크, 제니트-2
6817,Murom,무롬,
6831,Kuban Krasnodar,쿠반 크라스노다르, 쿠반
16856,Dinamo Vladivostok,디나모 블라디보스토크, 디나모 Vl.
38,Watford,왓포드,왓포드,fbee23,000000
41,Southampton,사우스햄튼,사우스햄튼,ed1a3b,ffffff
46,Leicester City,레스터 시티,레스터,0053a0,ffffff
54,Birmingham City,버밍엄 시티,버밍엄,1e3d8f,ffffff
56,Bristol City,브리스톨 시티,브리스톨C,e2001d,ffffff
57,Ipswich Town,입스위치 타운,입스위치,3a64a3,ffffff
58,Millwall,밀월,밀월,00194a,ffffff
59,Preston North End,프레스턴 노스 엔드,프레스턴,ffffff,002055
60,West Bromwich Albion,웨스트 브롬위치 알비온,웨스트 브롬,ffffff,091453
62,Sheffield United,셰필드 유나이티드,셰필드U,ec2227,ffffff
64,Hull City,헐 시티,헐,f28900,000000
67,Blackburn Rovers,블랙번 로버스,블랙번,003da5,ffffff
69,Derby County,더비 카운티,더비,ffffff,231f20
70,Middlesbrough,미들즈브러,미들즈브러,c41333,ffffff
71,Norwich City,노리치 시티,노리치,fff200,038c40
72,Queens Park Rangers,퀸즈 파크 레인저스,QPR,1d5ba4,ffffff
74,Sheffield Wednesday,셰필드 웬즈데이,셰필드W,ffffff,000000
75,Stoke City,스토크 시티,스토크,d6172e,ffffff
76,Swansea City,스완지 시티,스완지,ffffff,000000
1335,Charlton Athletic,찰튼 애슬레틱,찰튼,ee2c30,ffffff
1338,Oxford United,옥스퍼드 유나이티드,옥스퍼드U,fff200,001f59
1346,Coventry City,코번트리 시티,코번트리,69b3e7,ffffff
1355,Portsmouth,포츠머스,포츠머스,293f9c,e1e4f3
1837,Wrexham,렉섬,렉섬,b11921,ffffff
37,Huddersfield Town,허더즈필드 타운,허더즈필드,006ec7,ffffff
43,Cardiff City,카디프 시티,카디프,2b58ae,ffffff
53,Reading,레딩,레딩,004494,ffffff
61,Wigan Athletic,위건 애슬레틱,위건,1d59af,ffffff
68,Bolton Wanderers,볼턴 원더러스,볼턴,ffffff,df0024
73,Rotherham United,로더럼 유나이티드,로더럼
747,Barnsley,반즐리,반즐리,d71921,ffffff
748,Burton Albion,버턴 알비온,버턴,f7b206,000000
1333,AFC Wimbledon,AFC 윔블던,윔블던,004fbe,fae300
1337,Northampton Town,노스햄튼 타운,노스햄튼
1343,Bradford City,브래드포드 시티,브래드포드C,711533,f59b09
1350,Peterborough United,피터버러 유나이티드,피터버러U,0034cc,ffffff
1351,Port Vale,포트 베일,포트 베일
1354,Doncaster Rovers,동커스터 로버스,동커스터,d72325,ffffff
1356,Blackpool,블랙풀,블랙풀,f6880a,ffffff
1357,Plymouth Argyle,플리머스 아가일,플리머스,004f3e,ffffff
1358,Wycombe Wanderers,위컴 원더러스,위컴,5bbaec,ffffff
1359,Luton Town,루턴 타운,루턴,fa4616,ffffff
1364,Exeter City,엑시터 시티,엑시터
1368,Stevenage,스티버니지,스티버니지,ac152a,ffffff
1373,Leyton Orient,레이턴 오리엔트,레이턴,e20714,ffffff
1374,Mansfield Town,맨스필드 타운,맨스필드,faac28,000000
1379,Lincoln City,링컨 시티,링컨,e7232d,ffffff
4686,Stockport County,스톡포트 카운티,스톡포트,194f90,ffffff
1334,Bristol Rovers,브리스톨 로버스,브리스톨R
1336,Fleetwood Town,플릿우드 타운,플릿우드
1342,Walsall,월솔,월솔
1345,Chesterfield,체스터필드,체스터필드
1347,Gillingham,질링엄,질링엄
1348,Milton Keynes Dons,MK 돈스,MK,ffffff,cfb78f
1349,Oldham Athletic,올덤 애슬레틱,올덤
1352,Shrewsbury Town,슈루즈버리 타운,슈루즈버리
1353,Swindon Town,스윈던 타운,스윈던
1360,Accrington Stanley,애크링턴 스탠리,애크링턴
1361,Colchester United,콜체스터 유나이티드,콜체스터
1362,Crawley Town,크롤리 타운,크롤리
1363,Crewe Alexandra,크루 알렉산드라,크루
1365,Grimsby Town,그림즈비 타운,그림즈비
1367,Newport County,뉴포트 카운티,뉴포트
1369,Barnet,바닛,바닛
1370,Cambridge United,케임브리지 유나이티드,케임브리지,ff9e00,000000
1372,Cheltenham Town,첼트넘 타운,첼트넘
1376,Notts County,노츠 카운티,,000000,ffffff
1381,Tranmere Rovers,트랜미어 로버스,트랜미어
1819,Barrow,배로,배로
1832,Bromley,브롬리,브롬리,ffffff,231f20
1842,Harrogate Town,해러것 타운,해러것
1844,Salford City,솔퍼드 시티,솔퍼드
1339,Rochdale,로치데일,로치데일
1340,Scunthorpe United,스컨소프 유나이티드,스컨소프
1341,Southend United,사우스엔드 유나이티드,사우스엔드
1366,Hartlepool United,하틀리플 유나이티드,하틀리플
