league_id, league_name, league_name_ko, logo_url
17, AFC Champions League, AFC 챔피언스 리그 엘리트, https://i.namu.wiki/i/OnbZNdJTiJaxdfDkWmKPbLqfzR59kKg-qj5FsYEySN44d9cZ5AHSqXy89BI-9PDr6_JFoHyRd8amR_FybLKMpA.svg
18, AFC Champions League 2, AFC 챔피언스 리그 2, https://i.namu.wiki/i/4R-Byc46mWyD_vsgcZAdWS8T536o306ncMt1J7bFKh6hlDRFhvfCW5eGiOLwjTDpE9yXGx3J9yFy153RcV9-fb7Bzcmqt5jLVntouHU6OO9OkW7neb74zduUm89vxQefnnrI8H4vTGZWxBvuOY4OcA.svg
532, AFC U23 Asian Cup, U-23 아시안컵
952, AFC U23 Asian Cup - Qualification, U-23 아시안컵 예선
1140, AFC Women's Champions League, AFC 여자 챔피언스 리그
6, Africa Cup of Nations, 아프리카 네이션스 컵
36, Africa Cup of Nations - Qualification, 아프리카 네이션스 컵 예선
860, Arab Cup, FIFA 아랍컵
24, ASEAN Championship, 동남아시아컵
7, Asian Cup, 아시안컵
35, Asian Cup - Qualification, 아시안컵 예선
803, Asian Games, 아시안게임
12, CAF Champions League, CAF 챔피언스 리그
20, CAF Confederation Cup, CAF 컨페더레이션 컵
533, CAF Super Cup, CAF 슈퍼컵
1008, CAFA Nations Cup, 중앙아시아 컵
856, CONCACAF Caribbean Club Championship, 캐리비안 클럽 챔피언십
534, CONCACAF Caribbean Club Shield, 캐리비안 클럽 실드
1028, CONCACAF Central American Cup, 중앙아메리카 컵
16, CONCACAF Champions Cup, CONCACAF 챔피언스 컵, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/CONCACAF_Champions_Cup_logo.svg/3840px-CONCACAF_Champions_Cup_logo.svg.png
22, CONCACAF Gold Cup, CONCACAF 골드 컵
858, CONCACAF Gold Cup - Qualification, CONCACAF 골드 컵 예선
536, CONCACAF Nations League, CONCACAF 네이션스 리그
13, CONMEBOL Libertadores, 코파 리베르타도레스
541, CONMEBOL Recopa, CONMEBOL 레코파
11, CONMEBOL Sudamericana, 코파 수다메리카나
9, Copa America, 코파 아메리카
23, EAFF E-1 Football Championship, 동아시아컵, https://upload.wikimedia.org/wikipedia/en/7/73/2017_EAFF_E-1_Football_Championship.png
1169, EAFF E-1 Football Championship - Qualification, 동아시아컵 예선, https://upload.wikimedia.org/wikipedia/en/7/73/2017_EAFF_E-1_Football_Championship.png
25, Gulf Cup of Nations, 걸프 컵
772, Leagues Cup, 리그스 컵
27, OFC Champions League, OFC 챔피언스 리그
806, OFC Nations Cup, OFC 네이션스 컵
1214, OFC Pro League, OFC 프로 리그
480, Olympics Men, 남자 올림픽
524, Olympics Women, 여자 올림픽
28, SAFF Championship, 남아시아컵
911, Southeast Asian Games, 동남아시안게임
29, World Cup - Qualification Africa, 월드컵 아프리카 예선
30, World Cup - Qualification Asia, 월드컵 아시아 예선
31, World Cup - Qualification CONCACAF, 월드컵 북중미 예선
32, World Cup - Qualification Europe, 월드컵 유럽 예선
33, World Cup - Qualification Oceania, 월드컵 오세아니아 예선
34, World Cup - Qualification South America, 월드컵 남미 예선
37, World Cup - Qualification Intercontinental Play-offs, 월드컵 대륙간 플레이오프
587, World Cup - U17, U-17 월드컵
950, World Cup - U17 - Women, 여자 U-17 월드컵
490, World Cup - U20, U-20 월드컵
920, World Cup - U20 - Women, 여자 U-20 월드컵
8, World Cup - Women, 여자 월드컵
927, World Cup - Women - Qualification Concacaf, 여자 월드컵 북중미 예선
880, World Cup - Women - Qualification Europe, 여자 월드컵 유럽 예선
253, Major League Soccer, MLS
264, Copa MX, 코파 MX
262, Liga MX, 리가 MX
73, Copa Do Brasil, 코파 두 브라질
632, Supercopa do Brasil, 수페르코파 두 브라질
71, Serie A, 브라질 세리 A
72, Serie B, 브라질 세리 B
204, 1. Lig, TFF 1. 리그
551, Super Cup, TFF 쉬페르 쿠파
203, Süper Lig, 튀르키예 쉬페르 리그
206, Türkiye Kupası, 튀르키예 쿠파스
88, Eredivisie, 에레디비시
89, Eerste Divisie, 에이르스터 디비시
90, KNVB Beker, KNVB 베커르
543, Super Cup, 요한 크라위프 실드
94, Primeira Liga, 프리메이라 리가, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Liga_Portugal_Betclic_logo.svg/1920px-Liga_Portugal_Betclic_logo.svg.png
95, Segunda Liga, 리가 포르투갈 2, https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Liga_Portugal_Meu_Super_logo.svg/1920px-Liga_Portugal_Meu_Super_logo.svg.png
550, Super Cup, 수페르타사 칸디두 드 올리베이라
97, Taça da Liga, 타사 다 리가
96, Taça de Portugal, 타사 드 포르투갈
145, Challenger Pro League, 챌린저 프로 리그, https://statics-maker.llt-services.com/prl/images/2023/12/18/xsmall-wp/deea37f1-9a5c-42b3-ba2d-21cb81bb8dca-466.webp
147, Cup, 벨기에 컵, https://upload.wikimedia.org/wikipedia/en/4/42/Belgian_Cup%2C_Croky_Cup%2C_sponsored_logo_since_2022-23.png
144, Jupiler Pro League, 벨기에 프로 리그, https://statics-maker.llt-services.com/prl/images/2023/12/18/xsmall-wp/3d0bbec7-6aa5-460a-8a1f-3e5bee5c8d43-512.webp
345, Czech Liga, 체코 퍼스트 리그, https://upload.wikimedia.org/wikipedia/en/7/78/Chance_Liga%2C_Czech_First_League%2C_since_2024.jpg
346, FNL, 체코 풋볼 내셔널 리그
347, Cup, 체코 컵
179, Scottish Premiership, 스코티시 프리미어십
180, Scottish Championship, 스코티시 챔피언십
183, Scottish League One, 스코티시 리그 원
184, Scottish League Two, 스코티시 리그 투
181, FA Cup, 스코티시 컵
185, League Cup, 스코티시 리그 컵
732, Cup, 세르비아 컵
287, Prva Liga, 세르비아 프르바리가
286, Super Liga, 세르비아 수페르리가
113, Allsvenskan, 알스벤스칸
114, Superettan, 수페레탄
115, Svenska Kupen, 스벤스카 쿠펜
103, Eliteserien, 엘리트세리엔
104, 1. Division, 노르웨이 퍼스트 디비전
105, NM Cupen, 노르웨이 컵
106, Ekstraklasa, 엑스트라클라사
108, Cup, 푸하르 폴스키
727, Super Cup, 수페르푸하르 폴스키
197, Super League 1, 수페르리가 엘라다
199, Cup, 쿠펠로 엘라다스
1210, Super Cup, 수페르카프 엘라다스
218, Bundesliga, 오스트리아 분데스리가
220, Cup, ÖFB-컵
188, A-League, A-리그
307, Pro League, 사우디 프로 리그
308, Division 1, 사우디 퍼스트 디비전 리그
504, King's Cup, 사우디 국왕컵
826, Super Cup, 사우디 슈퍼컵
